iata_code,type,name,latitude_deg,longitude_deg,elevation_ft,iso_country,municipality,scheduled_service,local_code,country
WKK,medium_airport,Aleknagik / New Airport,59.2826004028,-158.617996216,66,US,Aleknagik,yes,5A8,United States
BLD,large_airport,Boulder City-Lake Mead International Airport,35.947498,-114.861,2201,US,Boulder City,no,BVU,United States
MFH,large_airport,Mesquite International Airport,36.834999,-114.055,1978,US,Mesquite,no,67L,United States
ABE,medium_airport,Lehigh Valley International Airport,40.651773,-75.442797,393,US,Allentown,yes,ABE,United States
ABI,medium_airport,Abilene Regional Airport,32.4113006592,-99.6819000244,1791,US,Abilene,yes,ABI,United States
ABQ,large_airport,Albuquerque International Sunport,35.040199,-106.609001,5355,US,Albuquerque,yes,ABQ,United States
ABR,medium_airport,Aberdeen Regional Airport,45.4491004943848,-98.4217987060547,1302,US,Aberdeen,yes,ABR,United States
ABY,medium_airport,Southwest Georgia Regional Airport,31.5354995727539,-84.1945037841797,197,US,Albany,yes,ABY,United States
ACK,medium_airport,Nantucket Memorial Airport,41.25310135,-70.06020355,47,US,Nantucket,yes,ACK,United States
ACT,medium_airport,Waco Regional Airport,31.6112995147705,-97.2304992675781,516,US,Waco,yes,ACT,United States
ACV,large_airport,California Redwood Coast-Humboldt County International Airport,40.978101,-124.109,221,US,Arcata/Eureka,yes,ACV,United States
ACY,medium_airport,Atlantic City International Airport,39.4575996398926,-74.5772018432617,75,US,Atlantic City,yes,ACY,United States
ADW,large_airport,Joint Base Andrews,38.810799,-76.866997,280,US,Camp Springs,no,ADW,United States
AEX,medium_airport,Alexandria International Airport,31.3274,-92.549797,89,US,Alexandria,yes,AEX,United States
AFW,large_airport,Fort Worth Alliance Airport,32.9875984192,-97.3188018799,722,US,Fort Worth,no,AFW,United States
AGC,medium_airport,Allegheny County Airport,40.3544006347656,-79.9301986694336,1252,US,Pittsburgh,no,AGC,United States
AGS,large_airport,Augusta Regional At Bush Field,33.3698997497559,-81.9645004272461,144,US,Augusta,yes,AGS,United States
AHN,medium_airport,Athens Ben Epps Airport,33.948600769043,-83.326301574707,808,US,Athens,yes,AHN,United States
AKC,medium_airport,Akron Executive Airport,41.037498,-81.466904,1067,US,Akron,no,AKR,United States
ALB,medium_airport,Albany International Airport,42.7482986450195,-73.8016967773438,285,US,Albany,yes,ALB,United States
ALI,medium_airport,Alice International Airport,27.7409000397,-98.0269012451,178,US,Alice,no,ALI,United States
ALM,medium_airport,Alamogordo White Sands Regional Airport,32.8399009705,-105.990997314,4200,US,Alamogordo,no,ALM,United States
ALN,medium_airport,St Louis Regional Airport,38.8903007507,-90.0459976196,544,US,Alton/St Louis,no,ALN,United States
ALO,medium_airport,Waterloo Regional Airport,42.5570983886719,-92.4002990722656,873,US,Waterloo,yes,ALO,United States
ALS,medium_airport,San Luis Valley Regional Airport/Bergman Field,37.434898,-105.866997,7539,US,Alamosa,yes,ALS,United States
ALW,medium_airport,Walla Walla Regional Airport,46.09489822,-118.288002,1194,US,Walla Walla,yes,ALW,United States
AMA,large_airport,Rick Husband Amarillo International Airport,35.219398,-101.706001,3607,US,Amarillo,yes,AMA,United States
ANB,medium_airport,Anniston Regional Airport,33.5882,-85.8581,612,US,Anniston,no,ANB,United States
AND,medium_airport,Anderson Regional Airport,34.4945983887,-82.7093963623,782,US,Anderson,no,AND,United States
AOO,medium_airport,Altoona Blair County Airport,40.29639816,-78.31999969,1503,US,Altoona,yes,AOO,United States
APA,medium_airport,Centennial Airport,39.57009888,-104.848999,5885,US,Denver,no,APA,United States
APF,medium_airport,Naples Municipal Airport,26.1525993347,-81.7752990723,8,US,Naples,no,APF,United States
APG,medium_airport,Phillips Army Air Field,39.466202,-76.1688,57,US,Aberdeen Proving Grounds(Aberdeen),no,APG,United States
