id,type,name,latitude_deg,longitude_deg,elevation_ft,iso_country,municipality,scheduled_service,iata_code,local_code
12243,medium_airport,Aleknagik / New Airport,59.2826004028,-158.617996216,66,US,Aleknagik,yes,WKK,5A8
3,large_airport,Honiara International Airport,-9.428,160.054993,28,SB,Honiara,yes,HIR,
4,medium_airport,Munda Airport,-8.32797,157.263,10,SB,Munda,yes,MUA,
312371,medium_airport,Hongyuan Airport,32.53154,102.35224,11600,CN,Aba,no,AHJ,
8,medium_airport,Nauru International Airport,-0.547458,166.919006,22,NR,Yaren District,yes,INU,
314558,medium_airport,Alxa Left Banner Bayanhot Airport,38.74831,105.58858,4560,CN,Bayanhot,yes,AXF,
53,medium_airport,Buka Airport,-5.4223198890686,154.673004150391,11,PG,Buka Island,yes,BUA,
54,medium_airport,Chimbu Airport,-6.02429008483887,144.970993041992,4974,PG,Kundiawa,yes,CMU,
55,medium_airport,Daru Airport,-9.08675956726,143.207992554,20,PG,Daru,yes,DAU,
56,medium_airport,Goroka Airport,-6.08168983459,145.391998291,5282,PG,Goronka,yes,GKA,
57,medium_airport,Gurney Airport,-10.3114995956,150.333999634,88,PG,Gurney,yes,GUR,
58,medium_airport,Girua Airport,-8.80453968048,148.309005737,311,PG,Popondetta,yes,PNP,
59,medium_airport,Kimbe Airport,-5.46217012405396,150.404998779297,66,PG,Hoskins,yes,HKN,
60,medium_airport,Kerema Airport,-7.96361017227,145.770996094,10,PG,Kerema,yes,KMA,
61,medium_airport,Kavieng Airport,-2.57940006256,150.807998657,7,PG,Kavieng,yes,KVG,
62,medium_airport,Madang Airport,-5.20707988739,145.789001465,20,PG,Madang,yes,MAG,
63,medium_airport,Mount Hagen Kagamuga Airport,-5.82678985595703,144.296005249023,5388,PG,Mount Hagen,yes,HGU,
64,medium_airport,Mendi Airport,-6.14774,143.656998,5680,PG,Mendi,yes,MDU,
65,medium_airport,Momote Airport,-2.06189,147.423996,12,PG,Manus Island,yes,MAS,
66,medium_airport,Nadzab Airport,-6.569803,146.725977,239,PG,Lae,yes,LAE,
67,large_airport,Port Moresby Jacksons International Airport,-9.44338035583496,147.220001220703,146,PG,Port Moresby,yes,POM,
68,medium_airport,Tokua Airport,-4.34046,152.380005,49,PG,Kokopo,yes,RAB,
69,medium_airport,Vanimo Airport,-2.6926,141.3028,10,PG,Vanimo,yes,VAI,
70,medium_airport,Wapenamanda Airport,-5.6433,143.895004,5889,PG,Wapenamanda,yes,WBM,
71,medium_airport,Wewak International Airport,-3.58383011818,143.669006348,19,PG,Wewak,yes,WWK,
44941,medium_airport,Zabrat Airport,40.4955422161,49.9768066406,36,AZ,Baku,no,ZXT,
27301,medium_airport,Benguera Island Airport,-21.8533000946045,35.4383010864258,,MZ,Benguera Island,yes,BCW,
111,medium_airport,Bezmer Air Base,42.4548988342,26.3521995544,509,BG,Yambol,no,JAM,
31697,medium_airport,Aasiaat Airport,68.7218017578,-52.7846984863,74,GL,Aasiaat,yes,JEG,
113,medium_airport,Narsarsuaq Airport,61.1604995728,-45.4259986877,112,GL,Narsarsuaq,yes,UAK,
114,medium_airport,Godthaab / Nuuk Airport,64.19090271,-51.6781005859,283,GL,Nuuk,yes,GOH,
115,medium_airport,Kangerlussuaq Airport,67.0122218992,-50.7116031647,165,GL,Kangerlussuaq,yes,SFJ,
31700,medium_airport,Sisimiut Airport,66.951302,-53.729301,33,GL,Sisimiut,yes,JHS,
